name,emission_label,justification,topic,probability,topic_name
Climate Checklist for Prospectuses and Other Public Offering Documents,Physical Climate Risks,"The clause helps issuers identify and assess physical climate risks, such as extreme weather events, which can impact the financial viability of projects and investments.",4,0.9826085046514518,Physical Climate Risks
Climate Checklist for Prospectuses and Other Public Offering Documents,Transition Risks,"By providing a framework for disclosing transition risks, the clause encourages issuers to consider the financial implications of shifting to a low-carbon economy, which can affect their operations and market position.",4,0.8268120591753667,Physical Climate Risks
Climate Checklist for Prospectuses and Other Public Offering Documents,Regulatory Risks,"The clause addresses regulatory risks by ensuring that issuers are aware of and compliant with evolving climate-related regulations, which can lead to financial penalties or increased operational costs if not properly managed.",4,0.6587863940040098,Physical Climate Risks
Climate Contract Risk Sharing (ex Force Majeure),Wasted Embedded Carbon,"The clause addresses Wasted Embedded Carbon by requiring parties to collaborate on solutions to mitigate the impacts of wasted products or services during a Climate Change Event or Pandemic, thus reducing emissions associated with the production of goods that are not utilized.",1,1.0,Carbon and Fuel Emissions
Climate Contract Risk Sharing (ex Force Majeure),Operational Emissions,"Operational Emissions are considered in the context of maintaining Disruption Liquidity Ratios, which indirectly encourages parties to manage their operational activities efficiently during disruptions, thereby minimizing emissions from ongoing operations.",-1,0.0,Outliers / Misc
Climate Contract Risk Sharing (ex Force Majeure),Product Delivery Emissions,"Product Delivery Emissions are mitigated through provisions that allow for the repurposing, recycling, or donation of products that cannot be delivered or used, thus reducing the emissions associated with transportation and disposal of goods.",0,1.0,Waste and Construction Emissions
Climate Due Diligence Questionnaire for M&A Transactions,Fugitive Emissions,"The clause encourages companies to set net zero and science-based targets, which can lead to the reduction of fugitive emissions from equipment leaks and other unintended releases of gases.",1,1.0,Carbon and Fuel Emissions
Climate Due Diligence Questionnaire for M&A Transactions,Process Emissions,"By requiring details on decarbonization plans and interim targets, the clause addresses process emissions that arise from industrial activities and manufacturing processes, promoting cleaner technologies and practices.",0,1.0,Waste and Construction Emissions
Climate Due Diligence Questionnaire for M&A Transactions,Transportation Emissions,"The emphasis on assessing climate risks and opportunities includes evaluating transportation emissions related to supply chains and logistics, encouraging companies to adopt more sustainable transportation methods.",3,1.0,Travel and Commuting
Climate Due Diligence Questionnaire for M&A Transactions,Waste Emissions,"The clause's focus on waste management and recycling initiatives directly targets waste emissions, which occur when waste decomposes in landfills and releases methane, a potent greenhouse gas.",0,0.7548798011316139,Waste and Construction Emissions
Climate Due Diligence Questionnaire for M&A Transactions,Employee Commuting Emissions,"By inquiring about policies to reduce the carbon footprint of employee travel and commuting, the clause aims to mitigate emissions associated with transportation to and from work, promoting remote work or sustainable commuting options.",3,1.0,Travel and Commuting
Climate Lobbying and Responsible Investments: Policy Requirements,Fossil Fuel Investments,"The clause requires Party B to regularly review its investment policies, particularly in relation to fossil fuel investments, which are a significant source of carbon dioxide emissions. By aligning with Paris Agreement goals, Party B is encouraged to divest from these high-emission sources.",1,0.9545934093094364,Carbon and Fuel Emissions
Climate Lobbying and Responsible Investments: Policy Requirements,High Emission Sectors,"By mandating a target date for divestment from high emitting sectors, the clause directly addresses emissions from industries such as coal, oil, and gas, which contribute heavily to global warming.",2,0.5478481350931277,Energy and Heat Consumption
Climate Lobbying and Responsible Investments: Policy Requirements,Greenhouse Gas Mitigation,"The requirement for Party B to develop a plan for mitigating greenhouse gas emissions ensures that specific strategies are in place to reduce emissions from their operations and investments, thereby contributing to overall climate goals.",1,1.0,Carbon and Fuel Emissions
Climate Lobbying and Responsible Investments: Policy Requirements,Climate Change Adaptation,"The clause emphasizes the need for Party B to have plans for adapting to climate change impacts, which can help reduce vulnerability to climate-related risks and enhance resilience against extreme weather events, thereby indirectly supporting emissions reduction through improved operational practices.",4,0.3715479669045134,Physical Climate Risks
Climate Policy Footprint,Lobbying Emissions,"The clause encourages companies to align their lobbying activities with the goals of the Paris Agreement, which can help reduce emissions associated with political influence that may support fossil fuel interests or other high-emission policies.",1,0.9328511340109373,Carbon and Fuel Emissions
Climate Policy Footprint,Public Policy Emissions,"By requiring disclosures on public policy engagement, the clause aims to ensure that companies do not engage in activities that could undermine climate action, thus reducing emissions linked to unfavorable legislation.",1,0.9699054047594253,Carbon and Fuel Emissions
Climate Policy Footprint,Investment Emissions,"The clause addresses emissions from financial investments by promoting transparency in how companies influence climate-related policies through funding and advocacy, which can lead to more sustainable investment practices.",1,0.8368656819939304,Carbon and Fuel Emissions
Climate Policy Footprint,Supply Chain Emissions,"The requirement for companies to report on their climate policy engagement can lead to improved practices in their supply chains, reducing emissions from suppliers who may not adhere to climate-friendly practices.",0,1.0,Waste and Construction Emissions
Climate Policy Footprint,Corporate Reporting Emissions,"The emphasis on corporate reporting and transparency regarding climate-related activities can lead to better tracking and management of emissions, ultimately driving reductions in GHG emissions across the organization.",-1,0.0,Outliers / Misc
Climate Purchase Agreement and Underwriting Sponsor Warranties,Carbon Footprint,"The clause mandates the Company to assess its Carbon Footprint, which directly relates to the emissions produced from its operations, thereby encouraging reduction strategies.",1,1.0,Carbon and Fuel Emissions
Climate Purchase Agreement and Underwriting Sponsor Warranties,Climate Risk,"By requiring compliance with environmental laws and the implementation of climate risk management strategies, the clause helps mitigate risks associated with climate change impacts on the Company's operations.",4,0.7638423038540739,Physical Climate Risks
Climate Purchase Agreement and Underwriting Sponsor Warranties,Net Zero Target,"The establishment of a Net Zero Target and a Carbon Budget promotes accountability and structured efforts to reduce emissions over time, aligning with global climate goals.",-1,0.0,Outliers / Misc
Climate Purchase Agreement and Underwriting Sponsor Warranties,Sustainable Procurement,"The inclusion of sustainable procurement policies aims to reduce emissions associated with the supply chain by prioritizing local and sustainable sourcing, which can lower transportation emissions and promote circular economy practices.",7,0.7007470730749034,Sustainable Financing
Climate Purchase Agreement and Underwriting Sponsor Warranties,Employee Engagement,"The clause emphasizes employee training and engagement on climate issues, which can lead to behavioral changes that reduce emissions in the workplace and promote a culture of sustainability.",3,0.546942420052839,Travel and Commuting
Climate Purposed NDA Terms (Confidentiality Agreement),Operational Emissions,"The clause encourages parties to discuss and align on climate goals, which can lead to reduced operational emissions from energy use and processes in their respective businesses.",-1,0.0,Outliers / Misc
Climate Purposed NDA Terms (Confidentiality Agreement),Supply Chain Emissions,"By fostering transparency and collaboration on climate issues, the clause can help identify and mitigate supply chain emissions, particularly those related to transportation and logistics.",0,1.0,Waste and Construction Emissions
Climate Purposed NDA Terms (Confidentiality Agreement),Product Lifecycle Emissions,"The focus on climate change purpose in commercial relationships can lead to innovations in product design and materials, ultimately reducing emissions associated with the entire lifecycle of products, from production to disposal.",0,1.0,Waste and Construction Emissions
Climate Recitals,Fugitive Emissions,"Fugitive emissions from equipment leaks and venting can be reduced as the parties commit to decarbonization targets, which often include measures to minimize leaks of potent greenhouse gases like methane.",1,1.0,Carbon and Fuel Emissions
Climate Recitals,Process Emissions,"Process emissions, which occur during the production of goods and services, can be mitigated as the parties align their operations with low-carbon technologies and practices, aiming for a significant reduction in overall emissions.",0,1.0,Waste and Construction Emissions
Climate Recitals,Combustion Emissions,"Combustion emissions from burning fossil fuels for energy in operations can be decreased as the parties pursue a transition to renewable energy sources and improve energy efficiency, contributing to their net-zero targets.",1,1.0,Carbon and Fuel Emissions
Climate Recitals,Transportation Emissions,Transportation emissions associated with the logistics of delivering products and services can be reduced through commitments to sustainable transportation practices and optimizing supply chains to lower carbon footprints.,3,1.0,Travel and Commuting
Climate Recitals,Waste Emissions,"Waste emissions from landfills and waste treatment processes can be minimized as the parties adopt practices that promote waste reduction, recycling, and responsible disposal, aligning with their climate objectives.",0,0.7548798011316139,Waste and Construction Emissions
Climate Standard Transaction Terms,Carbon Footprint,"The clause mandates the measurement of the Company's Carbon Footprint, which directly relates to the emissions produced from its operations, allowing for targeted reduction strategies.",1,1.0,Carbon and Fuel Emissions
Climate Standard Transaction Terms,Carbon Offsets,"By requiring the purchase of carbon credits from a Carbon Offset Provider, the clause facilitates the offsetting of emissions, thereby contributing to net-zero goals.",1,1.0,Carbon and Fuel Emissions
Climate Standard Transaction Terms,Sustainability Goals,"The establishment of Sustainability Goals encourages the Company to adopt practices that minimize emissions and promote low-carbon infrastructure, aligning with climate resilience efforts.",7,1.0,Sustainable Financing
Climate Standard Transaction Terms,Climate Risk,"The clause includes provisions for assessing climate risk, which helps identify potential emissions sources related to physical and transition risks, enabling proactive management.",4,0.7638423038540739,Physical Climate Risks
Climate Standard Transaction Terms,Climate Monitoring,"Regular climate monitoring and reporting obligations ensure that the Company remains accountable for its emissions and sustainability practices, fostering continuous improvement in reducing emissions.",4,0.5405848576956312,Physical Climate Risks
Climate Standard of Care (Construction),Construction Emissions,"The clause emphasizes adherence to best industry practices, which can lead to reduced emissions from construction activities, such as those from machinery and equipment used on-site.",0,1.0,Waste and Construction Emissions
Climate Standard of Care (Construction),Material Transport Emissions,"By requiring contractors to meet net-zero objectives, the clause indirectly addresses emissions associated with the transportation of materials to and from the construction site, promoting the use of local materials and efficient logistics.",3,0.3811645642377922,Travel and Commuting
Climate Standard of Care (Construction),Waste Generation Emissions,"The inclusion of sustainable waste management practices aims to minimize emissions from waste generation and disposal during the construction phase, encouraging recycling and reducing landfill contributions.",0,1.0,Waste and Construction Emissions
Climate Standard of Care (Construction),Energy Consumption Emissions,"The focus on energy efficiency and sustainable practices during construction can lead to lower emissions from energy consumption, particularly if renewable energy sources are utilized or energy-efficient technologies are implemented.",2,0.8331925683578121,Energy and Heat Consumption
Commercial Lease: Alterations (improve environmental performance),Building Energy Consumption,"The clause encourages alterations that improve the energy efficiency of the premises, which directly reduces emissions associated with building energy consumption, such as electricity and heating fuel use.",2,1.0,Energy and Heat Consumption
Commercial Lease: Alterations (improve environmental performance),Construction Emissions,"By allowing tenants to make structural and non-structural improvements, the clause can lead to reduced emissions from construction activities, as more sustainable materials and methods may be employed.",0,1.0,Waste and Construction Emissions
Commercial Lease: Alterations (improve environmental performance),Waste Management Emissions,"Improvements to environmental performance may include better waste management practices, which can reduce emissions from waste disposal and treatment processes.",0,1.0,Waste and Construction Emissions
Commercial Lease: Alterations (improve environmental performance),Transportation Emissions,"The clause promotes collaboration between landlords and tenants, which can lead to more efficient transportation logistics for goods and services, thereby reducing emissions associated with transportation.",3,1.0,Travel and Commuting
Commercial Lease: Repairs and Alterations (circular economy),Construction Waste Emissions,"The clause encourages the reuse and recycling of materials, which directly reduces emissions associated with the disposal of construction waste in landfills, where methane is produced during decomposition.",0,1.0,Waste and Construction Emissions
Commercial Lease: Repairs and Alterations (circular economy),Material Production Emissions,"By prioritizing the use of reclaimed, reused, or recycled materials, the clause helps to lower emissions from the production of new materials, which often involves energy-intensive processes.",0,1.0,Waste and Construction Emissions
Commercial Lease: Repairs and Alterations (circular economy),Landfill Methane Emissions,"Minimizing waste through circular economy principles reduces the volume of materials sent to landfills, thereby decreasing methane emissions generated from organic waste decomposition.",1,1.0,Carbon and Fuel Emissions
Commercial Lease: Repairs and Alterations (circular economy),Transportation Emissions,"The emphasis on using sustainable materials and minimizing waste can lead to reduced transportation emissions, as locally sourced or reused materials typically require less transportation than new materials sourced from distant locations.",3,1.0,Travel and Commuting
Commercial Lease: Repairs and Alterations (circular economy),Operational Energy Emissions,The clause promotes efficiency standards and practices that can lead to lower operational energy emissions by ensuring that the materials and methods used in construction are energy-efficient and sustainable.,2,1.0,Energy and Heat Consumption
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),Fugitive Emissions,"Fugitive emissions, such as methane leaks from equipment or facilities, can be significantly reduced by implementing a net zero transition plan that includes monitoring and maintenance protocols.",1,1.0,Carbon and Fuel Emissions
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),Process Emissions,"Process emissions, which occur during the manufacturing or production processes, can be mitigated through the adoption of cleaner technologies and practices outlined in the net zero transition plan.",0,1.0,Waste and Construction Emissions
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),Transportation Emissions,Transportation emissions from logistics and supply chain activities can be addressed by setting targets for reducing vehicle emissions and optimizing routes as part of the transition plan.,3,1.0,Travel and Commuting
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),Energy Use Emissions,Energy use emissions from electricity consumption can be minimized by transitioning to renewable energy sources and improving energy efficiency measures as specified in the net zero transition plan.,2,0.9727365335000323,Energy and Heat Consumption
Conservation Covenant for Soil Preservation and Enhancement,Soil Carbon Emissions,"The clause aims to preserve and enhance soil health, which is crucial for maintaining soil carbon stores. By preventing the removal of topsoil and promoting practices that enhance soil organic matter, it helps mitigate emissions associated with soil carbon loss.",6,0.6592454458556765,Soil and Biodiversity
Conservation Covenant for Soil Preservation and Enhancement,Chemical Fertilizer Emissions,"By prohibiting the use of chemical fertilizers, the clause directly addresses emissions related to the production and application of these fertilizers, which can lead to nitrous oxide emissions, a potent greenhouse gas.",-1,0.0,Outliers / Misc
Conservation Covenant for Soil Preservation and Enhancement,Pesticide Emissions,"The restriction on pesticide application helps reduce emissions associated with the production and use of pesticides, which can contribute to greenhouse gas emissions through their manufacturing processes and potential soil degradation.",-1,0.0,Outliers / Misc
Conservation Covenant for Soil Preservation and Enhancement,Tillage Emissions,"The clause encourages minimum tillage practices, which are known to reduce soil disturbance and maintain soil carbon levels. This helps mitigate emissions that would otherwise result from conventional tillage practices that release stored carbon into the atmosphere.",-1,0.0,Outliers / Misc
Construction : Procuring Materials and Carbon Budgets,Embodied Carbon,"The clause emphasizes the need to account for the total embodied carbon in materials and goods used in construction, which directly addresses emissions associated with the production and lifecycle of these materials.",1,1.0,Carbon and Fuel Emissions
Construction : Procuring Materials and Carbon Budgets,Transportation Emissions,"By requiring the Contractor to provide information on the climate impacts of transportation, the clause aims to reduce emissions generated from the logistics of moving materials to the construction site, which can be significant depending on distance and mode of transport.",3,1.0,Travel and Commuting
Construction : Procuring Materials and Carbon Budgets,Construction Emissions,"The clause mandates that the Contractor ensures that emissions from the construction activities themselves do not exceed the established carbon budget, thereby directly targeting emissions produced during the actual building process.",0,1.0,Waste and Construction Emissions
Coolerplate Clauses (Climate Aligned Boilerplate),Carbon Footprint,"The clause emphasizes minimizing the Carbon Footprint of activities, which directly relates to reducing emissions from energy consumption and operational processes.",1,1.0,Carbon and Fuel Emissions
Coolerplate Clauses (Climate Aligned Boilerplate),GHG Emissions,"By mandating electronic communication to avoid printing and postal delivery, the clause helps reduce GHG Emissions associated with paper production and transportation.",1,1.0,Carbon and Fuel Emissions
Coolerplate Clauses (Climate Aligned Boilerplate),Energy Consumption,"Encouraging energy-saving practices and offsetting initiatives promotes reduced Energy Consumption, which is a significant contributor to emissions in various sectors.",2,1.0,Energy and Heat Consumption
Coolerplate Clauses (Climate Aligned Boilerplate),Travel Emissions,The clause's focus on virtual proceedings aims to mitigate Travel Emissions by reducing the need for physical travel and accommodation during dispute resolution.,3,1.0,Travel and Commuting
Coolerplate Clauses (Climate Aligned Boilerplate),Waste Emissions,"The commitment to avoid Adverse Climate Outcomes can lead to better waste management practices, thereby reducing Waste Emissions from operational activities.",0,0.7548798011316139,Waste and Construction Emissions
Debt Finance Clauses (and LMA Facility Amendments) Promoting Sustainable Water Usage,Water Usage Emissions,"The clause promotes sustainable water usage, which can lead to a reduction in emissions associated with the extraction and transportation of water, thereby minimizing the carbon footprint linked to water usage.",5,1.0,Water and Wastewater
Debt Finance Clauses (and LMA Facility Amendments) Promoting Sustainable Water Usage,Wastewater Treatment Emissions,"By incentivizing water reduction strategies, the clause indirectly addresses emissions from wastewater treatment processes, as less water usage typically results in lower volumes of wastewater generated, which in turn reduces the energy and emissions associated with treating that wastewater.",5,0.6525608727310838,Water and Wastewater
Debt Finance Clauses (and LMA Facility Amendments) Promoting Sustainable Water Usage,Energy Consumption Emissions,"The focus on water sustainability can also lead to reduced energy consumption in water heating and pumping processes, as efficient water management often correlates with lower energy requirements, thus decreasing emissions from energy production.",2,0.8331925683578121,Energy and Heat Consumption
ESG-Linked Pricing Adjustment for Derivatives Transactions,Energy Consumption,"The clause encourages counterparties to meet sustainability-linked performance criteria, which can lead to reduced energy consumption in their operations, thereby lowering emissions associated with electricity generation.",2,1.0,Energy and Heat Consumption
ESG-Linked Pricing Adjustment for Derivatives Transactions,Transportation Emissions,"By incentivizing sustainable practices, the clause can lead to a reduction in transportation emissions, as companies may opt for greener logistics and supply chain solutions to meet their ESG targets.",3,1.0,Travel and Commuting
ESG-Linked Pricing Adjustment for Derivatives Transactions,Waste Management,"The focus on sustainability can drive improvements in waste management practices, reducing emissions from landfills and promoting recycling and waste-to-energy initiatives.",0,1.0,Waste and Construction Emissions
ESG-Linked Pricing Adjustment for Derivatives Transactions,Industrial Processes,"Encouraging sustainable practices through derivatives pricing adjustments can lead to lower emissions from industrial processes, as companies may invest in cleaner technologies and more efficient production methods.",0,1.0,Waste and Construction Emissions
ESG Aligned Company Articles,Operational Energy Use,"The clause encourages companies to adopt energy-efficient practices and renewable energy sources in their operations, thereby reducing emissions associated with operational energy use.",2,0.8681990339892731,Energy and Heat Consumption
ESG Aligned Company Articles,Supply Chain Emissions,"By integrating ESG considerations into corporate governance, the clause promotes sustainable sourcing and procurement practices, which can significantly lower emissions from the supply chain.",0,1.0,Waste and Construction Emissions
ESG Aligned Company Articles,Waste Management Emissions,"The emphasis on ESG principles can lead to improved waste management strategies, reducing emissions from waste disposal and promoting recycling and circular economy practices.",0,1.0,Waste and Construction Emissions
Employee Climate Engagement Provisions,Employee Travel Emissions,"The clause encourages employee engagement in sustainability practices, which can lead to reduced travel-related emissions by promoting digital meetings and sustainable commuting options.",3,1.0,Travel and Commuting
Employee Climate Engagement Provisions,Energy Consumption Emissions,"By providing training on energy efficiency and renewable energy, the clause aims to reduce emissions associated with energy consumption in the workplace.",2,0.8331925683578121,Energy and Heat Consumption
Employee Climate Engagement Provisions,Waste Management Emissions,The focus on sustainable lifestyle changes and smart waste management in the training can help minimize emissions from waste disposal and management activities.,0,1.0,Waste and Construction Emissions
Employee Climate Engagement Provisions,Supply Chain Emissions,"The requirement for suppliers to provide environmental training ensures that their operations align with climate goals, potentially reducing emissions throughout the supply chain.",0,1.0,Waste and Construction Emissions
Employer-Employee Environmental Obligations,Biodiversity Loss,"The clause encourages employees to engage in voluntary work that promotes biodiversity, which is crucial for maintaining ecosystems that can absorb carbon and mitigate climate change impacts.",6,1.0,Soil and Biodiversity
Employer-Employee Environmental Obligations,Climate Adaptation,"By allowing employees to volunteer in activities focused on climate adaptation, the clause supports efforts to prepare for and respond to the effects of climate change, thereby reducing vulnerability to climate-related risks.",4,0.4087195670687937,Physical Climate Risks
Employer-Employee Environmental Obligations,Circular Economy,"Promoting a circular economy through voluntary work helps reduce waste and encourages sustainable resource use, which can lower emissions associated with production and disposal processes.",0,1.0,Waste and Construction Emissions
Employer-Employee Environmental Obligations,Low Carbon Transition,"The clause facilitates a just transition to a low carbon economy by enabling employees to contribute to initiatives that support the shift away from fossil fuels, thereby directly impacting emissions from energy production and consumption.",1,1.0,Carbon and Fuel Emissions
Entire Business Net Zero Objectives,Operational Energy Use,"The clause emphasizes the development and implementation of a Net Zero Transition Plan, which typically includes strategies to reduce operational energy use, thereby lowering emissions associated with electricity and heating in business operations.",2,0.8681990339892731,Energy and Heat Consumption
Entire Business Net Zero Objectives,Employee Commuting,"By requiring sustainability training for employees, the clause indirectly addresses emissions from employee commuting, as it encourages sustainable transportation practices and awareness of carbon footprints.",3,0.8144103267674507,Travel and Commuting
Entire Business Net Zero Objectives,Supply Chain Emissions,"The obligation to sign up for the Carbon Trust Standard for Supply Chain and to regularly measure and report on the Carbon Footprint indicates a focus on reducing emissions throughout the supply chain, which is a significant source of indirect emissions.",0,1.0,Waste and Construction Emissions
Entire Business Net Zero Objectives,Waste Management,"The establishment of a sustainability committee and the requirement to report on climate risks and opportunities can lead to improved waste management practices, reducing emissions from waste disposal and encouraging recycling and resource efficiency.",0,1.0,Waste and Construction Emissions
Entire Business Net Zero Objectives,Business Travel,The clause's focus on climate policy engagement and the inclusion of climate contract clauses in standard contracts can help mitigate emissions from business travel by promoting virtual meetings and sustainable travel policies.,3,0.9170079135548526,Travel and Commuting
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",Direct Emissions,The clause aims to reduce direct emissions from the Group's operations by setting targets for reducing emissions associated with on-site energy use and fuel consumption.,1,1.0,Carbon and Fuel Emissions
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",Indirect Emissions,"By linking performance conditions to the reduction of indirect emissions, the clause addresses emissions from purchased electricity and other energy sources, which are critical for achieving overall climate targets.",1,1.0,Carbon and Fuel Emissions
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",Electricity Emissions,"The commitment to purchasing electricity on a green tariff ensures that the energy consumed by the Group's offices comes from renewable sources, thereby reducing emissions associated with fossil fuel-based electricity generation.",2,0.727695187537803,Energy and Heat Consumption
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",Supply Chain Emissions,"The clause encourages the Group to engage with its supply chain to reduce emissions, particularly through the training program aimed at reducing scope 3 emissions, which often represent a significant portion of a company's overall carbon footprint.",0,1.0,Waste and Construction Emissions
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",Carbon Footprint,"The requirement to assess and verify the Group's Carbon Footprint aligns with efforts to measure and mitigate emissions across all activities, ensuring a comprehensive approach to climate impact reduction.",1,1.0,Carbon and Fuel Emissions
Environmental Business Charter,Business Travel Emissions,"The clause encourages virtual meetings as the default, which helps reduce emissions associated with business travel, including flights and car journeys.",3,0.7927563364406074,Travel and Commuting
Environmental Business Charter,Operational Energy Use,"By measuring and publishing GHG emissions, the firm can identify and reduce emissions from operational energy use, such as electricity and heating in office spaces.",2,0.8681990339892731,Energy and Heat Consumption
Environmental Business Charter,Waste Management Emissions,"Investing in sustainable sourcing and implementing circular economy principles can significantly reduce emissions from waste management, including food and plastic waste.",0,1.0,Waste and Construction Emissions
Environmental Business Charter,Supply Chain Emissions,"Encouraging sustainable procurement practices can help mitigate emissions from the supply chain, particularly from suppliers that may have high carbon footprints.",0,1.0,Waste and Construction Emissions
Environmental Business Charter,Employee Commuting Emissions,"Offering flexible leave and remote working options can reduce emissions from employee commuting, as fewer employees may need to travel to the office regularly.",3,1.0,Travel and Commuting
Environmental Targets for a Limited Partnership Agreement,Operational Energy Use,"The clause emphasizes the development and implementation of a Net Zero Target Plan, which directly addresses emissions from operational energy use by promoting energy efficiency and renewable energy sources within the Group Companies.",2,0.8681990339892731,Energy and Heat Consumption
Environmental Targets for a Limited Partnership Agreement,Investment-Related Emissions,"By incorporating ESG issues into investment and pricing decisions, the clause encourages asset managers to consider the carbon footprint of their investments, thereby reducing emissions associated with the production and delivery of goods and services from portfolio companies.",1,0.8592620570128134,Carbon and Fuel Emissions
Environmental Targets for a Limited Partnership Agreement,Supply Chain Emissions,"The focus on ESG principles in investment decisions helps to identify and mitigate emissions throughout the supply chain, as companies are incentivized to adopt sustainable practices that lower their overall environmental impact.",0,1.0,Waste and Construction Emissions
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,Energy Efficiency Emissions,"The clause promotes energy efficiency improvements in the cement production process, which directly reduces emissions associated with energy consumption and operational inefficiencies.",2,1.0,Energy and Heat Consumption
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,Cement Production Emissions,"By setting targets for reductions in greenhouse gas emissions related to cement manufactured or sold, the clause addresses emissions generated during the production and manufacturing cycle of cement.",0,1.0,Waste and Construction Emissions
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,Renewable Energy Emissions,"The commitment to increase the use of renewable energy sources, such as through Virtual Power Purchase Agreements, aims to reduce reliance on fossil fuels, thereby decreasing emissions from energy generation.",2,1.0,Energy and Heat Consumption
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,Carbon Capture Emissions,"Investment in carbon capture and storage technology is specifically aimed at reducing direct emissions from cement production, which is a significant source of CO2 emissions in the industry.",1,1.0,Carbon and Fuel Emissions
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,Offsetting Emissions,"The clause allows for investment in external projects that offset emissions, which can help mitigate the overall carbon footprint of the Borrower by compensating for emissions that cannot be eliminated through direct measures.",1,0.8478879609227363,Carbon and Fuel Emissions
Film Production: Carbon Footprint Disclosure,Film Production Emissions,"The clause encourages the calculation and disclosure of the carbon footprint associated with the film production, which includes emissions from various activities such as set construction, equipment usage, and waste management, collectively referred to as Film Production Emissions.",0,1.0,Waste and Construction Emissions
Film Production: Carbon Footprint Disclosure,Transportation Emissions,"Transportation Emissions arise from the travel of cast, crew, and equipment to and from filming locations. By raising awareness and promoting the reduction of the overall carbon footprint, the clause indirectly encourages the use of more sustainable transportation options.",3,1.0,Travel and Commuting
Film Production: Carbon Footprint Disclosure,Energy Consumption Emissions,"Energy Consumption Emissions are generated from the electricity and fuel used during filming, including lighting, cameras, and other equipment. The obligation to disclose the carbon footprint motivates producers to seek energy-efficient solutions and renewable energy sources, thereby reducing these emissions.",2,0.8331925683578121,Energy and Heat Consumption
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,Construction Emissions,"The clause requires the adoption of a Construction Phase GHG Emissions Management Plan, which directly addresses emissions produced during the construction activities, such as those from machinery, equipment, and construction materials.",0,1.0,Waste and Construction Emissions
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,Operational Emissions,"By mandating an Operations Phase GHG Emissions Management Plan, the clause ensures that emissions from ongoing operational activities, including energy use and maintenance, are monitored and managed effectively.",-1,0.0,Outliers / Misc
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,Material Production Emissions,"The clause emphasizes the importance of contractor compliance with GHG emissions obligations, which includes emissions from the production of materials used in construction, such as cement and steel, thereby reducing the carbon footprint associated with material sourcing.",0,1.0,Waste and Construction Emissions
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,Transportation Emissions,Transportation emissions are addressed through the requirement for contractors to manage logistics and supply chains in a way that minimizes emissions from the transport of materials and personnel to and from the construction site.,3,1.0,Travel and Commuting
Gain-Share Incentive for Reducing GHG Emissions,Operational Emissions,"The clause incentivizes Party B to reduce operational emissions associated with their direct activities, such as energy use in construction or service delivery, thereby promoting efficiency and lower carbon outputs.",-1,0.0,Outliers / Misc
Gain-Share Incentive for Reducing GHG Emissions,Supply Chain Emissions,"By requiring Party B to measure and report on their supply chain carbon footprint, the clause encourages the reduction of emissions from suppliers and logistics, which are often significant contributors to overall emissions.",0,1.0,Waste and Construction Emissions
Gain-Share Incentive for Reducing GHG Emissions,Service Delivery Emissions,"The focus on reducing the Services Carbon Footprint directly addresses emissions generated during the provision of services, ensuring that Party B actively seeks to minimize their impact through improved practices and technologies.",0,0.9677072850055549,Waste and Construction Emissions
General Condition to Commercial Insurance Policies: Climate Change Risk Assessment,Operational Energy Use,"The climate change risk assessment encourages companies to evaluate their operational energy use, which can lead to identifying inefficiencies and opportunities for reducing energy consumption and associated emissions.",2,0.8681990339892731,Energy and Heat Consumption
General Condition to Commercial Insurance Policies: Climate Change Risk Assessment,Supply Chain Logistics,"By assessing climate-related risks, companies can better understand the emissions generated from their supply chain logistics, prompting them to optimize transportation routes and methods, thereby reducing emissions from freight and distribution.",0,0.9635046004516263,Waste and Construction Emissions
General Condition to Commercial Insurance Policies: Climate Change Risk Assessment,Waste Management Emissions,"The clause promotes awareness of waste management practices, encouraging companies to assess and improve their waste handling processes, which can lead to reduced emissions from landfills and incineration.",0,1.0,Waste and Construction Emissions
Green Acquisition Obligations,Operational Energy Use,"The clause encourages the purchaser to maintain and improve the target company's climate credentials, which likely includes reducing operational energy use through efficiency measures and renewable energy adoption.",2,0.8681990339892731,Energy and Heat Consumption
