name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label
Green Loan “Starter Pack”,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by aligning the green loan to the Green Loan Principles and the Paris Agreement Goals. It ensures that the use of proceeds, project selection, and reporting are managed according to these standards, which can help reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, the clause requires the Borrower to notify the Arrangers of any failure to comply with the Green Loan Framework, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",True
Green Residential Lease Clauses,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps mitigate transition-related risks by obliging tenants and buyers to use the property in an environmentally conscious way, aligning with net zero targets and the Paris Agreement objectives. It also includes provisions for data sharing and monitoring, which can help in achieving these standards. Additionally, the clause helps reduce exposure to legal risks related to disclosure by requiring tenants to provide information and cooperate with the landlord regarding environmental performance and sustainability initiatives.",True
Green Service Charge Provisions for Commercial Leases,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by allowing landlords to include the costs of improving the environmental performance of leased buildings in service charges. This can address investor concerns about climate risk and compliance with environmental legislation, which is relevant to Transition-retrofit. Additionally, it requires cooperation between the landlord and tenant to identify and implement strategies for improving environmental performance, which can help manage disclosure risks, both to the tenant and to potential future investors or buyers. This aspect is relevant to Transition-disclosure and Legal-disclosure, as it ensures that both parties are transparent about their efforts to improve environmental performance.",True
Green Shareholders’ Agreement,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by aligning the company's operations and management with climate change and sustainability goals. It includes clauses for setting and achieving sustainability goals, aligning share option schemes and dividend policies with these goals, and requiring regular reporting and review of the company's carbon footprint and progress towards net-zero targets. These provisions help the company and its shareholders prepare for and implement necessary retrofits and changes to meet sustainability standards, while also ensuring transparency and disclosure through mandatory reporting and shareholder oversight. This reduces exposure to risks related to regulatory changes, non-compliance, and reputational damage.",True
Green Shareholders’ Agreement (Short Form for SMEs),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps mitigate transition-related risks by aligning the operation and management of the company with climate change goals and promoting net zero transition plans. It also includes provisions for carbon footprint management and offsetting, which are key aspects of transitioning to a low-carbon economy. Additionally, it helps reduce exposure to legal claims related to disclosure by requiring the company and shareholders to act in good faith and provide evidence of compliance with carbon offsetting obligations, thereby reducing the risk of misrepresentation or omission of relevant climate transition information.",True
Green Supplier Agreement Terms,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on reducing emissions across the value chain through collaboration, target setting, and reporting, which aligns with transition-related risks. It encourages suppliers to adopt carbon footprint standards and measure, manage, and report their greenhouse gas emissions, which helps in aligning with regulatory requirements and standards. The clause also includes provisions for verification and reporting, which can help in disclosing climate-related information and reducing exposure to regulatory penalties and compliance failures. Additionally, the inclusion of emission reduction targets and incentives can help in reducing the exposure to future regulatory changes and performance failures.",True
Green Termination Provision (Short Form),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by allowing customers to switch suppliers based on environmental performance, which supports their net zero targets and competitiveness. It also addresses disclosure of supplier's environmental practices and policies, reducing the risk of non-disclosure or misrepresentation. Additionally, it provides a general framework for assessing and switching suppliers based on environmental criteria, which is relevant for managing broader transition risks.",True
Green Transaction Execution Protocols,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on adopting green transaction execution protocols that promote a just transition to a low carbon economy and align with the goals of the Paris Agreement. It includes specific measures to reduce greenhouse gas emissions, such as minimizing paper use, reducing travel, and using electronic signatures. These actions help mitigate the risk of future retrofit obligations or disputes by clarifying roles and responsibilities, and they also help with transition standards by promoting net zero targets and sustainable behaviors. Additionally, the clause requires parties to disclose their adherence to these protocols, which helps reduce exposure to disclosure-related risks.",True
Green or Sustainability-Linked Lending Requirement,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by clarifying roles and responsibilities related to sustainability-linked lending. It also addresses disclosure requirements, ensuring that lenders provide annual confirmation of their compliance with the Environmental Lender Requirement, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",True
Greener and More Efficient HGVs in Road and Multimodal Transport Agreements,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on the use of energy-efficient vehicles and the reduction of greenhouse gas emissions in road and multimodal transport agreements. It requires carriers to use green HGVs and continuously improve operations to reduce emissions. This aligns with transition-related standards and helps ensure compliance with future environmental standards and regulations, thus reducing exposure to future retrofit obligations and reputational risks associated with not aligning to Net Zero or carbon standards.",True
Heads of Terms for Landowner Collaboration on Environmental Schemes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"This clause helps mitigate legal-disclosure risks by outlining the responsibilities of the parties involved in the environmental scheme, including how they will share receipts and manage activities on the land. It also helps manage legal-contract risks by defining the terms of the collaboration agreement, including the division of responsibilities and costs. Additionally, it addresses legal-insurance risks by specifying how costs associated with the scheme will be shared, which can help in ensuring that there are no gaps in insurance coverage due to unaddressed climate risks.",True
Incentives for Insured Parties to Disclose and Meet GHG Emissions Targets,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-disclosure risks by incentivizing insured parties to disclose and meet GHG emissions targets, which can reduce the exposure to legal claims resulting from failure to disclose known or foreseeable climate risks. It also addresses transition-regulatory risks by promoting faster emissions reduction, which can help align with future regulatory requirements. Additionally, the clause can help reduce exposure to transition-retrofit risks by encouraging the adoption of green suppliers and renewable energy, which can facilitate future energy efficiency and decarbonization efforts.",True
Indigenous/ Local Knowledge in Board Director Appointments,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate legal disclosure risks by ensuring that companies appoint directors with Indigenous and traditional knowledge, which can provide valuable insights into climate and environmental issues. This can help reduce the exposure to legal claims resulting from the failure to disclose known or foreseeable climate risks. Additionally, the clause helps manage general legal and transition-related risks by promoting a more diverse and inclusive board composition, which can enhance the company's ability to address climate risks and transition to net zero. The emphasis on stakeholder engagement and consultation also supports better disclosure practices and aligns with best ESG governance principles.",True
Insurance: Disclosure and Mitigation of Pending Climate Change Litigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"This clause helps mitigate legal disclosure risks by requiring the policyholder to disclose its net zero targets and climate risk exposure, which can reduce the likelihood of legal claims arising from the failure to disclose known or foreseeable climate risks. It also helps mitigate legal negligence risks by ensuring the policyholder discloses its exposure to climate change litigation and measures taken to mitigate risks, thereby reducing the chance of negligence claims for failing to identify or plan for such risks. Additionally, the clause addresses legal insurance risks by extending insurance policies to cover pending climate change litigation, ensuring that climate-related litigation is covered and reducing the risk of gaps in insurance coverage.",True
Insurance Premium Adjustment for D&O Climate-related Financial Disclosures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Intellectual Property: Free Licence for Climate Purposes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by promoting the sharing and use of intellectual property for climate-related purposes, which can facilitate the development of commercial solutions to minimize climate change. It also includes provisions for reporting and charitable donations, which can help in disclosing the company's climate-related activities and progress, thereby reducing exposure to disclosure-related risks.",True
Interest Ratchet Clause for Carbon Saving,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps incentivize companies to reduce their greenhouse gas emissions by providing financial incentives through a lower cost of capital. It aligns with transition-related standards and retrofits by encouraging companies to take actions that reduce their carbon footprint, thereby supporting the transition to a decarbonized economy. The clause does not directly address physical climate risks but focuses on financial and operational measures to support climate action, which is relevant to both transition standards and retrofitting efforts.",True
JCT Energy Efficiency and Environmental Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to future retrofit obligations and the need to align with voluntary Net Zero or carbon standards. It obliges the Contractor to achieve specific energy efficiency ratings, use sustainable materials, and adopt environmentally friendly practices. These requirements are aimed at improving the energy efficiency, value, and marketability of built assets, and driving decarbonization in the construction sector. This aligns with transition-related risks, including regulatory uncertainty and the pressure to reduce carbon emissions. Additionally, the clause addresses general transition risks by promoting sustainable practices that may be required in the future.",True
Land: Sustainable Soil Management,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on sustainable soil management, which is a key aspect of transitioning to more sustainable business practices. It helps businesses align with best industry practices and standards, thereby reducing exposure to future regulatory changes and reputational risks. Additionally, by promoting the disclosure and management of soil-related risks, it helps mitigate the risk of legal claims arising from failure to disclose or address such risks.",True
Landlord and Tenant Obligations to Create Additionality in Renewable Electricity Generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Late Payment – Green Interest Remedies,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by encouraging parties to consider climate-positive behaviors and cascade these behaviors throughout their contractual documents. It also helps in disclosure by directing payments to green causes or carbon offset providers, which can be seen as a form of disclosure of the parties' commitment to climate action. Additionally, it helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, as it ensures that payments are made to green causes or carbon offset providers, which can be seen as a proactive disclosure of the parties' commitment to addressing climate change.",True
Lease: Renewable Energy Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,This clause helps mitigate the risk of future retrofit obligations by ensuring that both the landlord and tenant are committed to using 100% renewable energy. It also addresses the transition to higher environmental standards by aligning the lease with the goal of reducing the carbon footprint of the leased buildings. This proactive approach to energy procurement can help both parties comply with future regulatory requirements and voluntary standards for sustainability and net zero emissions.,True
Low Carbon Arbitrations,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to transition by promoting sustainable practices in arbitration, which can reduce greenhouse gas emissions and align with broader decarbonization efforts. It also addresses disclosure of emissions, which is crucial for transparency and compliance with climate-related standards. Additionally, the clause covers general transition risks by encouraging electronic document exchange and remote hearings, which can reduce the carbon footprint and align with evolving climate-related regulatory expectations.",True
Management Equity Ratchet Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause is designed to financially incentivize management teams to meet climate change and environmental targets. It helps reduce exposure to future retrofit obligations or disputes by clarifying roles and responsibilities, which aligns with the 'Transition-retrofit' category. Additionally, by linking management incentives to climate-related targets, it encourages alignment with environmental standards, which is relevant to the 'Transition-standards' category.",True
Modern Methods of Construction (MMC) and Net Zero Provisions for Construction or Development Agreements,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to transitioning to modern methods of construction (MMC) and achieving net zero objectives, which are key aspects of retrofitting and aligning with sustainability standards. It includes provisions for embedding sustainability into contracts, managing carbon budgets, and ensuring compliance with net zero objectives. Additionally, the clause requires the disclosure of climate impacts and the provision of regular reports, which helps in managing disclosure-related risks.",True
Net Zero Aligned Construction Modifications,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to future retrofit obligations and aligning to voluntary Net Zero standards. It incentivizes building contractors to propose Net Zero modifications, which are essential for future-proofing buildings against climate change impacts. The clause also ensures that these modifications are aligned with the project's Net Zero objectives, thereby reducing exposure to future regulatory and reputational risks.",True
Net Zero Completion Adjustment Clause,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incentivizing the acquisition of a company to measure and reduce greenhouse gas emissions as part of a net zero transition. It includes provisions for adjusting the purchase price based on the company's carbon performance, which aligns with the goals of reducing emissions and aligning with net zero standards. This helps mitigate the risk of future retrofit obligations and disputes related to not meeting these standards.",True
Net Zero Convertible Loan Note,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by requiring the company to set a Net Zero Target and implement a Net Zero Transition Plan. It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards, as it mandates the company to take specific actions related to sustainability and carbon footprint reduction.",True
Net Zero Culture Employment Handbook,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"This clause helps mitigate several risks related to transition and legal exposure. It promotes a Net Zero culture and includes policies on flexible working, sustainable procurement, and environmental training, which are key to transitioning to a low-carbon future. This aligns with transition-retrofit and transition-standards categories as it ensures that employees are trained and encouraged to adopt sustainable practices, and the company is committed to meeting net zero targets. Additionally, the clause includes a whistleblowing policy and disciplinary measures for environmental misconduct, which help reduce the risk of legal claims and breaches of environmental and legal obligations. This is relevant to legal-disclosure and legal-breach categories as it ensures that employees are aware of and comply with environmental policies and can report any non-compliance or misconduct.",True
Net Zero Land Promotion Agreement,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"The clause helps mitigate several risks related to transition and legal exposure. It promotes the adoption of net zero objectives and green planning strategies, which aligns with transition standards and helps reduce exposure to regulatory uncertainty and the need for future retrofits. Additionally, it includes provisions for disclosure and engagement with NGOs, which helps reduce the risk of legal claims related to the failure to disclose known or foreseeable climate risks. The overall clause also addresses general legal exposure, including potential disputes and performance failures due to climate conditions or adaptation burdens.",True
"Net Zero Obligations in FIDIC Engineering, Procurement and Construction (EPC) Contracts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Net Zero Target Supply Chain Cascade Clauses,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate various transition-related risks by ensuring that suppliers align their operations with a business's net zero targets. It requires suppliers to set their own net zero targets, develop transition plans, and report on their progress, which supports compliance with regulatory standards and voluntary net zero commitments. The clause also addresses potential legal exposure by requiring suppliers to disclose climate-related risks and opportunities, and by providing mechanisms for addressing non-compliance, such as termination or financial penalties. Additionally, it helps manage general legal exposure by clarifying responsibilities and obligations in the context of climate-related targets and performance.",True
Net Zero Within Company Whistleblowing Policies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate the risk of legal claims resulting from failure to disclose known or foreseeable climate risks, which falls under the 'Legal-disclosure' category. Additionally, it helps reduce exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information, which aligns with the 'Transition-disclosure' category. The clause ensures that companies have a robust whistleblowing regime in place to address climate-related issues, thereby promoting transparency and disclosure of such issues.",True
Open Source Data Sharing: Enabling Sustainable Mobility for Cities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate legal disclosure risks by ensuring that the Data Discloser and Data Receiver clearly understand the purposes for which the Shared Personal Data will be used, and by providing clear information to Data Subjects about the purposes and risks of data sharing. It also helps manage legal contract risks by setting out the terms and conditions for data sharing, including responsibilities, data retention, and termination conditions, which can reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens.",True
Parametric Insurance Incentives for the Protection of Coral Reefs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This clause helps mitigate exposure to extreme weather events by providing a parametric insurance policy that pays out in the event of a Primary Triggering Event or Aggregate Wind Speed Event. It also helps reduce exposure to gaps in insurance coverage caused by unaddressed climate risks, as it incentivizes the insured to take measures to protect coral reefs, potentially reducing the likelihood and impact of such events. The clause is specifically designed to address the financial and insurance-related risks associated with climate-induced natural disasters.",True
Paris Aligned Company Articles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Promotion of Carbon Sinks and Ecological Restoration in Lettings of Rural Land,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting carbon sinks and ecological restoration, which aligns with transition strategies to reduce greenhouse gas emissions and enhance carbon sequestration. It also helps with disclosure by requiring the tenant to create and comply with a Nutrient Management Plan, Integrated Pest Management Plan, and Environmental Management Plan, which can ensure that the tenant discloses relevant climate-related information to the landlord. Additionally, the clause includes provisions for compensation and valuation of climate benefits, which can help reduce exposure to legal claims related to the disclosure of such benefits.",True
Promotion of Regenerative Farming Methods through Profit of Pasturage Agreements,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"The clause promotes regenerative farming methods, which can help in transitioning to more sustainable practices. This aligns with the 'Transition-retrofit' category as it involves clarifying roles and responsibilities for future environmental improvements. Additionally, the clause includes covenants for maintaining the land in a good condition and using natural fertilizers, which can help in reducing the risk of legal claims related to environmental damage or non-disclosure of environmental risks. The overall clause also helps manage general legal exposure by promoting good faith and clear agreements between parties, which can reduce disputes and liabilities related to climate risks.",True
Reducing Supply Chain Food Waste,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause focuses on reducing food waste within a supply chain, which can be seen as a transition-related activity aimed at improving sustainability and reducing greenhouse gas emissions. By promoting the measurement and reporting of food waste, the clause helps in disclosing climate-related information, which is crucial for transparency and compliance. This aligns with the transition-retrofit category as it encourages the adoption of practices to reduce waste and improve sustainability. Additionally, the clause requires the provision of data and reports, which helps in mitigating legal risks related to disclosure, such as misrepresentation or omission of relevant climate transition information, fitting the legal-disclosure category.",True
Repair or Refurbishment in Insurance Claims,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This clause helps reduce exposure to gaps in insurance coverage by allowing insurers to repair or replace damaged goods with refurbished alternatives, which can be more cost-effective. This reduces the financial burden on the insurer and, by extension, the insured. The clause also addresses physical risks by providing a mechanism for handling damage from various sources, thus reducing the overall exposure to physical climate risks. This is particularly relevant for risks that are not specifically categorized, such as general physical damage from extreme weather events or other hazards.",True
Report on Title – Climate Change Clauses,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate various physical climate risks such as flooding and subsidence, which are explicitly listed as physical risks. It also addresses general physical risks through the climate search and recommendations for future resilience. The clause supports transition risks by recommending advice on insurability and property value, which are crucial for future-proofing properties. Additionally, it helps reduce exposure to legal risks by ensuring disclosure of climate risks and advising on potential contract performance issues due to climate conditions. The clause also addresses the legal exposure related to the client's decision not to commission a climate search, thus reducing the risk of liability for undisclosed climate risks.",True
SME’s Net Zero Objectives,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps SMEs to set and implement Net Zero targets and transition plans, which is relevant for reducing exposure to future retrofit obligations and disputes. It also requires public reporting on carbon footprint and progress towards Net Zero targets, which helps in managing disclosure-related risks. Additionally, the clause aligns with voluntary Net Zero standards, thus reducing exposure to reputational or commercial risks associated with not aligning to such standards.",True
SPA/ Investment Agreement: Disclosure of Climate Change Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Securing Net Zero in Planning Development Projects,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on integrating Net Zero and climate-aligned considerations into planning and development projects. It includes requirements for sustainability plans, net zero objectives, and whole life-cycle carbon assessments, which help in retrofitting existing buildings and ensuring compliance with future regulatory standards. The clause also addresses the potential for future legal challenges or regulatory changes by requiring ongoing reviews and compliance with local planning authority recommendations, thus reducing exposure to regulatory and compliance risks.",True
Shareholder Resolutions Relating to a Company’s Climate Change Commitments,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on a company's climate change commitments and the establishment of an energy transition strategy, climate transition plan, or emissions reduction strategy. It requires the company to align with the goals of the Paris Agreement and to set short- and medium-term targets for emissions reduction. The clause also mandates the company to report on its progress against these targets, which aligns with the disclosure requirements of the International Financial Reporting Standards Foundation and the UK government's guidance on environmental reporting. These actions help mitigate risks related to future retrofit obligations, the need to align with net zero standards, and the potential for legal claims arising from failure to disclose climate risks.",True
Sponsorship agreement: Net Zero Outcome,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on promoting and incentivizing net zero commitments and actions, which helps mitigate exposure to future retrofit obligations or disputes by clarifying roles and responsibilities (Transition-retrofit). It also includes detailed provisions for disclosure and reporting of net zero progress, which helps reduce exposure to disclosure-related risks (Transition-disclosure). Additionally, the clause ensures that the parties align with net zero standards and targets, which helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards).",True
Stakeholder Company Climate Questionnaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Subcontractor/ Supplier Self-Assessment Climate Questionnaire (Construction),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Supplier Environmental Threshold Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps mitigate exposure to future retrofit obligations and disputes by requiring continuous improvement and quantifiable targets for reducing carbon emissions. It also aligns with the UK's net zero targets and the Paris Agreement, thus reducing exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, the clause requires the supplier to disclose and verify carbon footprint data, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",True
Supply: Renewable Energy Requirements,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also helps achieve net zero targets and aligns with voluntary Net Zero or carbon standards, reducing exposure to reputational or commercial risks associated with not aligning to such standards (Transition-standards).",True
Supply: Termination for Greener Supplier,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,This clause helps reduce exposure to future retrofit obligations by setting a green baseline and requiring suppliers to meet or exceed this baseline. It also helps reduce exposure to disclosure-related risks by requiring suppliers to provide evidence of their carbon footprint and by allowing customers to terminate the agreement if the supplier cannot meet a 'greener' offer from an alternative supplier. This ensures that both parties are transparent about their environmental impact and can adapt to greener practices as required.,True
Supply Chain Emissions Scorecard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Supply Chain Sustainable Land Use Clause and Questionnaire,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by encouraging sustainable land use and management practices, which can reduce the environmental impact of the supply chain and align with Net Zero targets. It also helps with disclosure by requiring suppliers to provide detailed information about their environmental performance and practices, which can reduce the risk of legal claims related to misrepresentation or omission of climate risks. The clause ensures that suppliers are transparent about their environmental practices and impacts, which is crucial for managing legal exposure.",True
Sustainability-Linked Loans,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by incorporating sustainability-linked performance targets (SLPs) into traditional financing documents. It requires the borrower to set and report on specific sustainability performance targets (SPTs), which can help in aligning with net zero targets and mobilizing finance for the transition to a decarbonized economy. This aligns with the 'Transition-retrofit' category as it clarifies roles and responsibilities for achieving sustainability goals. Additionally, the clause requires the borrower to disclose their sustainability performance, which helps in reducing the risk of legal claims related to non-disclosure or misrepresentation of climate risks, fitting into the 'Transition-disclosure' category.",True
Sustainability Clauses in Supply Chain Contracts,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate several risks related to transition and legal exposure. It includes sustainability clauses that extend positive climate change measures to contracting parties, which helps in achieving multinational corporate carbon reduction targets and addressing regulatory imbalances. The clause also includes environmental representations and covenants, which help in disclosing and managing compliance with environmental legislation and standards. This is relevant for transition-retrofit as it clarifies roles, access, and upgrade responsibilities for sustainability policies. Additionally, the clause includes detailed provisions for environmental monitoring, reporting, and corrective actions, which help in reducing exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (transition-disclosure) and performance failure or frustration of contract due to climate conditions or adaptation burdens (legal-contract).",True
Sustainability Enterprise Delivery Measures within Construction Works Task Orders,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incorporating climate change-related temperature increases and deconstruction for reuse into construction works, which aligns with transition-related risks. It encourages contractors and suppliers to work towards sustainability and resilience, which is relevant to aligning with voluntary Net Zero or carbon standards. Additionally, the clause provides a framework for measuring and reporting on environmental performance, which helps manage general transition-related risks, including regulatory uncertainty and decarbonisation pressure.",True
Sustainability Key Performance Indicators in Construction Works Task Orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Sustainability Reporting Clause for the Constitution of a Private Limited Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate the risk of legal exposure related to the failure to disclose known or foreseeable climate risks. By requiring regular sustainability meetings and the production of an annual sustainability report, the clause ensures that the company is regularly evaluating and discussing its sustainability performance. This can help in identifying and disclosing climate risks to stakeholders, thereby reducing the risk of legal claims resulting from failure to disclose such risks. The clause also aligns with the broader trend of increased scrutiny on sustainability reporting, which is a key aspect of transition-related risks.",True
Sustainable On Site Working Practices,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on encouraging sustainable working practices on construction sites, which aligns with transition-related standards and retrofits. It promotes the use of renewable energy sources, energy-efficient equipment, and other green technologies, which are key aspects of aligning with climate and sustainable practices. The clause also includes provisions for reporting and monitoring energy savings and GHG reductions, which helps in aligning with net-zero or carbon reduction standards. These practices are essential for reducing the carbon footprint of construction projects and aligning with broader sustainability goals, thus mitigating risks associated with future regulatory requirements and reputational risks.",True
