name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label,number_of_labels ,labels 
Gain-Share Incentive for Reducing GHG Emissions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by incentivizing a counterparty to reduce greenhouse gas emissions through a gain-share payment. It requires the measurement, management, and reporting of GHG emissions, which aligns with adopting industry best practices and standards (Transition-standards). The clause also ensures transparency and disclosure through the submission of GHG reports and external verification, reducing the risk of misrepresentation or omission of relevant climate transition information (Transition-disclosure). Additionally, it promotes retrofitting and decarbonization efforts by providing financial incentives for reducing emissions, thus reducing exposure to future retrofit obligations or disputes (Transition-retrofit).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
General Condition to Commercial Insurance Policies: Climate Change Risk Assessment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate 'Legal-disclosure' risks by requiring companies to conduct a climate change risk assessment and present it to their Board of Directors. This ensures that companies are aware of and can disclose their climate-related risks, reducing the likelihood of legal claims resulting from failure to disclose known or foreseeable climate risks. It also contributes to 'Transition-general' risks by fostering market understanding and behavioral norms in managing and mitigating climate-related risks, which can help companies adapt to future regulatory changes and pressures. Lastly, it addresses 'Physical-general' risks by prompting companies to identify and assess the climate-related risks to their business, which can help in managing general exposure to physical climate risks.",TRUE,3,"Physical-general, Transition-general, Legal-disclosure"
Green Acquisition Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"This clause helps mitigate risks related to transition-retrofit by incentivizing the purchaser to maintain and improve the target company's green credentials post-acquisition. It also aligns with transition-standards by ensuring the company continues its progress towards net zero and climate targets. Additionally, it helps reduce exposure to legal-contract risks by defining conditions for the payment of the Repayable Consideration and providing a mechanism for dispute resolution, thus reducing the likelihood of performance failure or frustration of contract due to climate conditions or adaptation burdens.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-contract"
Green Assured Shorthold Tenancy (AST) Clauses,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps mitigate transition-retrofit risks by incentivizing tenants to engage in sustainable practices and allowing landlords to install renewable energy solutions while the property is occupied. This encourages the retrofitting of properties to become more energy-efficient and sustainable. Additionally, the clause helps mitigate legal-disclosure risks by requiring tenants to provide evidence of their compliance with green occupation undertakings and allowing landlords to withdraw the green rent rebate if they believe the tenants are not complying. This ensures that both parties are transparent about the property's environmental performance and helps avoid disputes related to non-compliance.",TRUE,2,"Transition-retrofit, Legal-disclosure"
Green Company Articles,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause helps mitigate transition-related risks by promoting a company's commitment to addressing environmental issues and setting clear targets for emissions reduction and water management. It includes provisions for regular review and reporting of environmental performance, which can help the company align with voluntary Net Zero or carbon standards (Transition-standards). The requirement to prepare and audit an Environmental Report, which includes disclosures on governance, strategy, and risk management, helps reduce exposure to disclosure-related risks (Transition-disclosure). Additionally, the clause requires the company to consider the environmental impact of its operations and set targets for reducing emissions and water usage, which can help reduce the risk of future retrofit obligations or disputes (Transition-retrofit).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Green Dispute Reporting in After the Event Insurance Policies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate legal disclosure risks by requiring the insured to comply with 'Environmental Best Practice' and to report any deviations to the insurer. It also helps manage general legal exposure by ensuring that the insured conducts disputes in an environmentally friendly manner, which can reduce legal costs and expenses. The clause provides a framework for the insured to seek approval for deviations from best practices, which can help in managing potential disputes and ensuring compliance with environmental standards.",TRUE,2,"Legal-disclosure, Legal-general"
Green Investment Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by focusing on the investee company's climate change and environmental obligations, which includes setting and implementing a net-zero target, using renewable energy, and reporting sustainability information. It aligns the company with ESG and green investment standards, which is crucial for meeting future regulatory and market demands. Additionally, the clause requires the company to disclose climate risks and opportunities, which helps in reducing exposure to legal claims related to non-disclosure of climate risks. Therefore, it covers transition-retrofit, transition-standards, and transition-disclosure risk categories.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Green Litigation and Arbitration Protocols,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"This clause helps mitigate various risks related to the transition to a low-carbon economy and the legal implications of climate change. It includes provisions for reducing greenhouse gas emissions, which align with transition-retrofit risks by promoting sustainable practices and reducing carbon footprints. It also includes measures for disclosure and reporting of emissions, which align with transition-disclosure risks by ensuring transparency and compliance with climate-related standards. Additionally, the clause addresses general legal exposure by promoting environmentally conscious practices, which can reduce the risk of legal disputes and penalties related to climate change impacts.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-general"
Green Loan “Starter Pack”,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by aligning the loan to the Green Loan Principles and the Paris Agreement Goals. It ensures that the use of proceeds, project selection, and reporting are managed in a way that supports green projects, which is crucial for meeting net zero standards. Additionally, it addresses the need for transparency and disclosure by requiring the Borrower to notify the Arrangers of any failure to comply with the Green Loan Framework, thereby reducing the risk of legal claims related to non-disclosure or greenwashing. This aligns with both the standards for green financing and the disclosure requirements, making it relevant for both 'Transition-standards' and 'Transition-disclosure' categories.",TRUE,2,"Transition-standards, Transition-disclosure"
Green Residential Lease Clauses,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause helps mitigate exposure to future retrofit obligations and disputes by clarifying roles and responsibilities for tenants and landlords in achieving net zero targets and improving the environmental performance of the property. It also aligns with the objectives of the Paris Agreement and imposes obligations on tenants to use the property in an environmentally conscious way, which helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, the clause requires tenants to provide information and cooperate with the landlord in relation to the environmental performance of the property, which helps reduce exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Green Service Charge Provisions for Commercial Leases,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate risks related to transition to more sustainable practices and aligning with environmental standards. It allows landlords to include costs for improving the environmental performance of leased buildings in service charges, which can help address investor concerns and comply with environmental legislation. This aligns with the 'Transition-retrofit' and 'Transition-standards' categories. Additionally, the clause requires cooperation between the landlord and tenant to identify and implement strategies for improving environmental performance, which can help reduce exposure to legal claims resulting from the failure to disclose or plan for climate risks. This ties into the 'Legal-disclosure' category.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Green Shareholders’ Agreement,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by aligning the company's operations with sustainability goals and net-zero targets. It includes clauses that mandate the setting of sustainability goals, the inclusion of sustainability performance in share option schemes and dividend policies, and the requirement for regular reporting on carbon footprint and sustainability performance. These measures are designed to incentivize and support the company's decarbonization efforts and ensure transparency, which aligns with transition standards and disclosure requirements. Additionally, the clause includes provisions for shareholder pre-emption rights and permitted transfers, which can help manage future retrofit obligations and disputes related to climate transition plans.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Green Shareholders’ Agreement (Short Form for SMEs),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by aligning the operation and management of the company with climate change goals and net zero targets, which is crucial for SMEs to transition to more sustainable practices. It also includes provisions for carbon footprint management and offsetting, which can help in meeting regulatory and voluntary standards. Additionally, the clause requires regular reporting and evaluation of progress towards these goals, which can help in reducing exposure to legal claims related to failure to disclose or plan for climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Green Supplier Agreement Terms,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on reducing emissions across the value chain through collaboration, target setting, and reporting, which aligns with transition-retrofit by encouraging suppliers to adopt and comply with carbon footprint standards. It also helps reduce exposure to regulatory changes by ensuring compliance with future standards and requirements, thus mitigating transition-regulatory risks. Additionally, the clause promotes alignment with best practices and industry standards, which helps in meeting future regulatory standards, further supporting transition-standards.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
Green Termination Provision (Short Form),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate 'Transition-retrofit' risks by allowing customers to switch to greener suppliers, which can encourage suppliers to improve their environmental practices and reduce carbon footprints. It also addresses 'Transition-standards' by embedding the assessment of green credentials into procurement processes, supporting parties in meeting their net zero targets. Additionally, it helps reduce 'Legal-disclosure' risks by requiring suppliers to provide information about their carbon footprint, environmental practices, and policies, which can prevent legal claims related to failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Green Transaction Execution Protocols,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause focuses on promoting green transaction execution protocols that aim to reduce the carbon footprint of financial and corporate deals. It includes measures to reduce greenhouse gas emissions, promote sustainable practices, and align with climate goals. These actions help mitigate transition-related risks, such as retrofit obligations, by encouraging the adoption of sustainable behaviors and reducing the carbon footprint of transactions. Additionally, the clause helps with disclosure by requiring the measurement and reporting of greenhouse gas emissions, which can reduce the risk of legal claims related to the failure to disclose climate risks. Lastly, the general nature of the protocols and their alignment with climate goals help manage broader transition-related risks, including regulatory uncertainty and decarbonization pressure.",TRUE,3,"Transition-retrofit, Transition-disclosure, Transition-general"
Green or Sustainability-Linked Lending Requirement,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards) by requiring lenders to confirm that a percentage of their lending is sustainable or 'green' finance.",TRUE,2,"Transition-retrofit, Transition-standards"
Greener and More Efficient HGVs in Road and Multimodal Transport Agreements,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by requiring the use of energy-efficient vehicles and setting targets for reducing greenhouse gas emissions. It also aligns with voluntary net zero or carbon standards by specifying the use of ultra-low emissions vehicles (ULEVs) or net zero vehicles (ZEVs) and requiring the offsetting of emissions through verified projects. The clause ensures that the carrier continuously improves its operations and fleet renewal, which is crucial for adapting to future regulatory and market demands for reduced emissions.",TRUE,2,"Transition-retrofit, Transition-standards"
Heads of Terms for Landowner Collaboration on Environmental Schemes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Incentives for Insured Parties to Disclose and Meet GHG Emissions Targets,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-disclosure risks by incentivizing insured parties to disclose and meet GHG emissions targets, which can reduce the exposure to legal claims resulting from failure to disclose known or foreseeable climate risks. It also addresses transition-retrofit by encouraging the adoption of net-zero practices and engaging green suppliers, which can help reduce future retrofit obligations. Additionally, the clause aligns with regulatory expectations and standards, thus reducing exposure to regulatory changes and penalties, making it relevant for transition-regulatory risks.",TRUE,3,"Transition-retrofit, Transition-regulatory, Transition-disclosure"
Indigenous/ Local Knowledge in Board Director Appointments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate legal disclosure risks by ensuring that companies appoint directors with Indigenous and traditional knowledge, which can enhance the company's understanding and disclosure of climate-related risks. It also helps manage general legal exposure by addressing the integration of diverse perspectives into corporate governance and decision-making, which can reduce the risk of legal disputes and non-compliance with regulatory requirements.",TRUE,2,"Legal-disclosure, Legal-general"
Insurance: Disclosure and Mitigation of Pending Climate Change Litigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"The clause focuses on ensuring that the policyholder discloses its net zero targets, climate risk exposure, and measures to mitigate climate-related litigation. This helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Legal-disclosure). It also addresses negligence claims for failing to identify, disclose, or plan for climate risks (Legal-negligence). Additionally, the clause helps manage general legal exposure arising from climate risks, including uncertainties and potential litigation (Legal-general).",TRUE,3,"Legal-negligence, Legal-disclosure, Legal-general"
Insurance Premium Adjustment for D&O Climate-related Financial Disclosures,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate legal disclosure risks by incentivizing companies to make accurate climate-related financial disclosures in their annual accounts. It ensures that companies are transparent about their climate-related risks and opportunities, which can reduce the risk of legal claims resulting from the failure to disclose known or foreseeable climate risks. Additionally, it aligns with the TCFD Recommendations and other environmental standards, promoting better disclosure practices and compliance with future legal requirements, which falls under transition disclosure risks.",TRUE,2,"Transition-disclosure, Legal-disclosure"
Intellectual Property: Free Licence for Climate Purposes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by facilitating the sharing of intellectual property for climate-related purposes, which can support the development of commercial solutions to minimize climate change. It also includes provisions for disclosure and reporting, which are crucial for transparency and compliance with climate-related standards and regulations. The clause requires the Licensee to provide annual updates on their activities and to make charitable donations, which can help in managing reputational and disclosure-related risks.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-disclosure"
Interest Ratchet Clause for Carbon Saving,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps incentivize companies to reduce their greenhouse gas emissions by providing financial incentives through a lower cost of capital for achieving carbon savings targets. It aligns with transition-related standards and retrofits by encouraging companies to take action towards decarbonization, thereby reducing their exposure to future regulatory and reputational risks associated with not meeting net zero or carbon reduction targets.",TRUE,2,"Transition-retrofit, Transition-standards"
JCT Energy Efficiency and Environmental Obligations,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on energy efficiency and environmental obligations in construction projects, which aligns with transition-related risks such as retrofitting and aligning with voluntary Net Zero or carbon standards. It also addresses potential future regulatory changes by ensuring compliance with current and evolving environmental standards, thus reducing exposure to regulatory penalties and compliance failures.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
Land: Sustainable Soil Management,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"The clause focuses on sustainable soil management, which is a key aspect of transitioning to more sustainable business practices. It helps businesses align with best industry practices and standards, thereby reducing exposure to future regulatory changes and reputational risks. The clause also emphasizes the importance of disclosure and training, which can help mitigate legal risks related to the failure to disclose known or foreseeable climate risks. Additionally, the overarching nature of the obligations and the emphasis on just transition and sustainable practices suggest a broad approach to managing general legal and transition-related risks.",TRUE,4,"Transition-retrofit, Transition-standards, Legal-disclosure, Legal-general"
Landlord and Tenant Obligations to Create Additionality in Renewable Electricity Generation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards) by encouraging the installation of renewable energy equipment and the procurement of renewable energy through Power Purchase Agreements (PPAs) or green energy tariffs.",TRUE,2,"Transition-retrofit, Transition-standards"
Late Payment – Green Interest Remedies,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate 'Transition-retrofit' risks by encouraging parties to consider climate-positive behaviors and cascading these behaviors throughout their contractual documents. It also helps mitigate 'Transition-disclosure' risks by requiring the disclosure of the green interest rate remedies and the specific green bank or offset provider chosen. Additionally, it helps mitigate 'Legal-disclosure' risks by ensuring that the terms of the agreement, including the interest rate and the green bank or offset provider, are clearly specified and disclosed.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-disclosure"
Lease: Renewable Energy Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate 'Transition-retrofit' risks by clarifying the roles and responsibilities of both the landlord and tenant in ensuring that the electricity supplied to the leasehold property is from renewable sources. It also addresses 'Transition-standards' by promoting emissions reductions and aligning with voluntary Net Zero or carbon standards through the use of renewable energy. Additionally, the clause helps mitigate 'Legal-disclosure' risks by requiring both parties to provide documentation on the energy sources used, which can help prevent claims of misrepresentation or omission of relevant climate transition information.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Low Carbon Arbitrations,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by promoting sustainable practices in arbitration, which can reduce greenhouse gas emissions. It encourages the use of electronic documents and remote hearings, which are more environmentally friendly and can help reduce the carbon footprint of disputes. The clause also requires parties to disclose their emissions for air travel, which can help in better planning and reducing future emissions. This aligns with broader transition strategies and helps in managing general transition-related risks, including regulatory uncertainty and decarbonisation pressure.",TRUE,3,"Transition-retrofit, Transition-disclosure, Transition-general"
Management Equity Ratchet Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause is designed to financially incentivize management teams to meet climate change and environmental targets. It helps reduce exposure to future retrofit obligations by aligning the interests of management with achieving these targets. Additionally, it helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards, as it ensures that the company is working towards meeting these standards through the conversion of shares based on performance.",TRUE,2,"Transition-retrofit, Transition-standards"
Modern Methods of Construction (MMC) and Net Zero Provisions for Construction or Development Agreements,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incorporating modern methods of construction (MMC) and net zero aligned provisions into construction or development agreements. It addresses the retrofitting of materials and systems to meet net zero objectives, which helps reduce exposure to future retrofit obligations and disputes. Additionally, the clause ensures that materials and goods used in the works align with net zero standards, thus helping to reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards.",TRUE,2,"Transition-retrofit, Transition-standards"
Net Zero Aligned Construction Modifications,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incentivizing 'Net Zero Modifications' to construction projects, which aligns with the transition to more sustainable and environmentally friendly practices. It helps reduce exposure to future retrofit obligations by encouraging the integration of net zero objectives into the construction process. Additionally, it supports alignment with voluntary Net Zero or carbon standards by requiring contractors to propose modifications that improve the carbon footprint of the project, thereby reducing exposure to reputational or commercial risks associated with not meeting such standards.",TRUE,2,"Transition-retrofit, Transition-standards"
Net Zero Completion Adjustment Clause,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incentivizing the acquisition of a company to measure and reduce greenhouse gas emissions, which aligns with the transition to net zero emissions. It includes specific policies and methodologies for carbon footprinting and offsetting, which helps ensure compliance with carbon standards. This is relevant for reducing exposure to future retrofit obligations and disputes over carbon performance, as well as aligning with voluntary net zero or carbon standards.",TRUE,2,"Transition-retrofit, Transition-standards"
Net Zero Convertible Loan Note,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by requiring the company to set a Net Zero Target and establish a Net Zero Transition Plan. It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, the clause requires the company to disclose climate-related information, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Net Zero Culture Employment Handbook,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"This clause helps mitigate several transition-related risks by promoting a Net Zero culture and encouraging sustainable practices across various aspects of employment. It supports the transition to a low-carbon economy by setting ambitious climate action targets and involving all employees. This can help reduce exposure to future retrofit obligations and disputes by clarifying roles and responsibilities. Additionally, the clause helps manage legal exposure by reducing the risk of disclosure-related claims and unallocated consequences of breaching climate-related obligations. The detailed policies and training programs also help align the company with voluntary Net Zero standards, reducing reputational and commercial risks.",TRUE,4,"Transition-retrofit, Transition-standards, Legal-disclosure, Legal-breach"
Net Zero Land Promotion Agreement,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate several risks related to transition and legal exposure. It promotes the development of net zero objectives and aligns with UK targets, which helps in reducing exposure to regulatory and reputational risks associated with not meeting net zero standards. The clause also includes financial incentives and penalties for meeting these objectives, which helps in reducing the risk of performance failure or frustration of contract due to climate conditions or adaptation burdens. Additionally, the clause requires engagement with NGOs and the inclusion of covenants for net zero overage, which helps in reducing the risk of legal claims related to disclosure and enforcement of climate-related obligations.",TRUE,4,"Transition-retrofit, Transition-standards, Legal-contract, Legal-disclosure"
"Net Zero Obligations in FIDIC Engineering, Procurement and Construction (EPC) Contracts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Net Zero Target Supply Chain Cascade Clauses,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also addresses the need to align with voluntary Net Zero or carbon standards (Transition-standards) by requiring suppliers to set their own Net Zero targets and develop transition plans. Additionally, it helps reduce exposure to future legal or policy changes affecting energy performance, adaptation, or development rights (Transition-regulatory) by ensuring that suppliers are held accountable for meeting net zero targets and providing regular updates and reports on their progress.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
Net Zero Within Company Whistleblowing Policies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate the risk of disclosure-related legal exposure by establishing a clear whistleblowing regime for climate-related issues. It ensures that employees and stakeholders can report concerns about climate risks, which can help companies proactively address and disclose these risks. By providing a structured process for handling and investigating these reports, the clause reduces the likelihood of legal claims arising from the failure to disclose known or foreseeable climate risks. This aligns with the broader goal of managing transition risks, particularly in the context of climate change and net zero commitments.",TRUE,2,"Transition-disclosure, Legal-disclosure"
Open Source Data Sharing: Enabling Sustainable Mobility for Cities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"The clause focuses on the sharing of personal data for climate purposes, which includes the disclosure of data related to mobility and environmental performance. It ensures that the data is shared lawfully, fairly, and transparently, which helps mitigate legal exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information. Additionally, the clause covers various aspects of data sharing agreements, making it relevant for general legal exposure to physical and transition climate risks.",TRUE,2,"Legal-disclosure, Legal-general"
Parametric Insurance Incentives for the Protection of Coral Reefs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This clause is designed to incentivize the restoration of coral reefs after extreme weather events, which falls under the category of 'Physical-extreme-weather'. It helps to mitigate the risk of economic losses from climate-induced natural disasters by providing parametric insurance payouts. Additionally, it addresses the 'Legal-insurance' category by ensuring that the insurance policy is structured in a way that incentivizes the insured to take measures to protect the coral reefs, thereby reducing the likelihood of claims and potentially lowering premiums. This also helps to reduce the exposure to gaps in insurance coverage caused by unaddressed climate risks.",TRUE,2,"Physical-extreme-weather, Legal-insurance"
Paris Aligned Company Articles,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on aligning the company's business and operations with the Paris Agreement goals and implementing continuous, measured reductions in GHG emissions. This helps mitigate exposure to future retrofit obligations (Transition-retrofit) by ensuring the company is proactive in reducing its carbon footprint. It also addresses the need to align with voluntary Net Zero or carbon standards (Transition-standards) by requiring the company to set a Net Zero Target and implement an Offsetting Strategy. Additionally, the clause mandates the company to disclose its climate risks and opportunities in accordance with the recommendations of the International Financial Reporting Standards Foundation (IFRS), which helps reduce exposure to disclosure-related risks (Transition-disclosure).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Promotion of Carbon Sinks and Ecological Restoration in Lettings of Rural Land,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate risks related to transition to a low-carbon economy by promoting carbon sinks and ecological restoration, which aligns with transition standards and net-zero goals. It also helps reduce exposure to legal claims related to disclosure of climate risks, as it requires the tenant to comply with biodiversity objectives and manage the property in a way that protects the environment. Additionally, it ensures that the tenant discloses and manages climate benefits, which can help avoid legal disputes and misrepresentation claims.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Promotion of Regenerative Farming Methods through Profit of Pasturage Agreements,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting regenerative farming methods, which can be seen as a form of future-proofing the land against climate change impacts. It also includes covenants for good land management and biodiversity promotion, which can help disclose and mitigate physical climate risks. Additionally, the clause includes provisions for good faith management and covenants that can help reduce exposure to legal claims related to the disclosure of climate risks.",TRUE,3,"Physical-general, Transition-retrofit, Legal-disclosure"
Reducing Supply Chain Food Waste,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause focuses on reducing food waste in the supply chain and includes provisions for measuring, recording, and reporting on food waste. These elements help mitigate transition-related risks by promoting the adoption of more sustainable practices and ensuring transparency, which can reduce disputes and non-compliance issues. The clause also includes warranties and confidentiality agreements, which help reduce exposure to legal claims related to the accuracy and completeness of the data provided, aligning with the 'Legal-disclosure' category.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-disclosure"
Repair or Refurbishment in Insurance Claims,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This clause helps reduce exposure to gaps in insurance coverage caused by unaddressed climate risks, which falls under 'Legal-insurance'. It also helps manage general exposure to physical climate risks, as it provides a mechanism for repairing or replacing damaged goods, which can be particularly relevant in the context of physical climate hazards such as storms, floods, or other extreme weather events, thus fitting under 'Physical-general'.",TRUE,2,"Physical-general, Legal-insurance"
Report on Title – Climate Change Clauses,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate various physical and transition climate risks by requiring a climate search that assesses the property for risks such as flooding, subsidence, and heat stress. It also helps in disclosing these risks to potential buyers or clients, thereby reducing the exposure to legal claims related to non-disclosure. Additionally, it provides recommendations for seeking professional advice, which can help in reducing the exposure to future retrofit obligations and contract performance failures due to climate conditions.",TRUE,8,"Physical-flooding, Physical-heat, Physical-subsidence, Physical-general, Transition-retrofit, Transition-disclosure, Legal-contract, Legal-disclosure"
